loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,35.0,3500,0.9837209302325581,0.9548532731376975,0.9690721649484536,886.0,0.9163179916317992,0.9690265486725663,0.9419354838709677,452.0,0.9596412556053812,0.9500194609321786,0.9619399109051319,0.9555038244097107,1338.0,0.9609510287022569,0.9596412556053812,0.9599049154364778,1338.0,0.9953879422281706,0.9953879422281708,0.9953879422281707,0.09451530873775482,0.9595,1394.432,43.771,,,,,
0.0706,7.588234901428223,8.484848484848484e-07,35.503778337531486,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0689,2.5978119373321533,8.181818181818181e-07,36.0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,36.0,3600,0.9837775202780996,0.9582392776523702,0.9708404802744426,886.0,0.9221052631578948,0.9690265486725663,0.9449838187702265,452.0,0.9618834080717489,0.9529413917179972,0.9636329131624682,0.9579121495223346,1338.0,0.9629435440312142,0.9618834080717489,0.9621056439516431,1338.0,0.9954029245490321,0.9954029245490322,0.9954029245490321,0.09330179542303085,0.9581,1396.482,43.836,,,,,
0.0719,6.779848098754883,7.878787878787879e-07,36.503778337531486,3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0687,1.7338937520980835,7.575757575757576e-07,37.0,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37.0,3700,0.9848130841121495,0.9514672686230248,0.9678530424799081,886.0,0.9107883817427386,0.9712389380530974,0.9400428265524625,452.0,0.9581464872944694,0.947800732927444,0.9613531033380611,0.9539479345161853,1338.0,0.9598062339843665,0.9581464872944694,0.958458261015629,1338.0,0.9953517349527559,0.9953517349527559,0.9953517349527559,0.09934714436531067,0.9559,1399.697,43.937,,,,,
0.0706,2.9657371044158936,7.272727272727273e-07,37.503778337531486,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0663,1.8959112167358398,6.96969696969697e-07,38.0,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,38.0,3800,0.983739837398374,0.9559819413092551,0.9696622781911849,886.0,0.9182389937106918,0.9690265486725663,0.9429494079655544,452.0,0.9603886397608371,0.9509894155545329,0.9625042449909107,0.9563058430783696,1338.0,0.9616124970793664,0.9603886397608371,0.9606381994602544,1338.0,0.9954054216025091,0.995405421602509,0.995405421602509,0.09602366387844086,0.9581,1396.479,43.836,,,,,
0.0729,5.812165260314941,6.666666666666666e-07,38.503778337531486,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0683,2.5910303592681885,6.363636363636364e-07,39.0,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39.0,3900,0.9837962962962963,0.9593679458239278,0.9714285714285714,886.0,0.9240506329113924,0.9690265486725663,0.9460043196544277,452.0,0.9626307922272048,0.9539234646038444,0.9641972472482471,0.9587164455414996,1338.0,0.9636131573949684,0.9626307922272048,0.9628398107395483,1338.0,0.9954478715116164,0.9954478715116164,0.9954478715116164,0.09417185187339783,0.962,1390.914,43.661,,,,,
0.0688,3.7383458614349365,6.060606060606061e-07,39.503778337531486,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0677,1.526869297027588,5.757575757575757e-07,40.0,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
